,Timestamp_x,From Bank_x,Account_x,To Bank_x,Account.1_x,Amount Received_x,Receiving Currency_x,Amount Paid_x,Payment Currency_x,Payment Format_x,Is Laundering_x,EdgeID,from_id_x,to_id_x,Amount Sent_x,Sent Currency_x,Received Currency_x,Timestamp_y,From Bank_y,Account_y,To Bank_y,Account.1_y,Amount Received_y,Receiving Currency_y,Amount Paid_y,Payment Currency_y,Payment Format_y,Is Laundering_y,from_id_y,to_id_y,Amount Sent_y,Sent Currency_y,Received Currency_y,Edge_ID,Prediction,True_Label,predicted_label
0,2022/08/01 00:17,20,800104D70,20,800104D70,6794.63,US Dollar,6794.63,US Dollar,Reinvestment,0,0,0,0,6794.63,0,0,2022/08/01 00:17,0.0,800A39060,0.0,800A39060,34776847.1,US Dollar,34776847.1,US Dollar,Reinvestment,0.0,0.0,0.0,34776847.1,0.0,0.0,0.0,-0.08473331,0.0,0.4788293376279319
1,2022/08/01 00:03,1208,80010E650,20,80010E6F0,73966883.0,US Dollar,73966883.0,US Dollar,Cheque,0,1,1,2,73966883.0,0,0,2022/08/01 00:06,0.0,800ABF260,0.0,800ABF260,7.29,US Dollar,7.29,US Dollar,Reinvestment,0.0,1.0,1.0,7.29,0.0,0.0,1.0,-0.17294595,0.0,0.4568709591670655
2,2022/08/01 00:02,1208,80010E650,20,80010EA30,45868454.0,US Dollar,45868454.0,US Dollar,Cheque,0,2,1,3,45868454.0,0,0,2022/08/01 00:26,0.0,8044230B0,0.0,8044230B0,19.53,US Dollar,19.53,US Dollar,Reinvestment,0.0,2.0,2.0,19.53,0.0,0.0,2.0,-0.1724427,0.0,0.4569958382724395
3,2022/08/01 00:25,20,800104D20,20,800104D20,9.72,US Dollar,9.72,US Dollar,Reinvestment,0,3,4,4,9.72,0,0,2022/08/01 00:18,0.0,801566E00,0.0,801566E00,5130.15,US Dollar,5130.15,US Dollar,Reinvestment,0.0,3.0,3.0,5130.15,0.0,0.0,3.0,-0.16716295,0.0,0.4583063061240693
4,2022/08/01 00:09,11,80010E600,11,80010E600,16.33,US Dollar,16.33,US Dollar,Reinvestment,0,4,5,5,16.33,0,0,2022/08/01 00:22,0.0,8023918A0,0.0,831C10AF0,31.17,US Dollar,31.17,US Dollar,Credit Card,0.0,4.0,5.0,31.17,0.0,0.0,4.0,-0.2568081,0.0,0.4361485091648615
5,2022/08/01 00:25,20,80010E6F0,183112,84DCA3150,3.24,US Dollar,3.24,US Dollar,Credit Card,0,5,2,6,3.24,0,0,2022/08/01 01:47,0.0,8005E4370,0.0,80098D140,371437.0,US Dollar,371437.0,US Dollar,Cheque,0.0,6.0,7.0,371437.0,0.0,0.0,5.0,-0.13605407,0.0,0.4660388534229462
6,2022/08/01 00:16,20,80010EA30,1601,802B6D220,47.17,US Dollar,47.17,US Dollar,Credit Card,0,6,3,7,47.17,0,0,2022/08/01 01:46,25642.0,821958090,0.0,821957F50,2503.17,US Dollar,2503.17,US Dollar,ACH,0.0,8.0,9.0,2503.17,0.0,0.0,6.0,-0.112591386,0.0,0.4718818512856473
7,2022/08/01 00:14,20,800073020,20,800073020,848368.76,US Dollar,848368.76,US Dollar,Reinvestment,0,7,8,8,848368.76,0,0,2022/08/01 01:54,148175.0,8219571D0,0.0,821957F50,2828.33,US Dollar,2828.33,US Dollar,ACH,0.0,10.0,9.0,2828.33,0.0,0.0,7.0,-0.18140495,0.0,0.4547727218811951
8,2022/08/01 00:09,11,800329930,2776,800816450,335999.68,US Dollar,335999.68,US Dollar,Cheque,0,8,9,10,335999.68,0,0,2022/08/01 02:59,1831.0,80064BCE0,0.0,800E91B40,4829.15,US Dollar,4829.15,US Dollar,Cheque,0.0,11.0,12.0,4829.15,0.0,0.0,8.0,-0.14320146,0.0,0.464260688623025
9,2022/08/01 00:07,0,8009B22F0,0,8009B22F0,121.98,US Dollar,121.98,US Dollar,Reinvestment,0,9,11,11,121.98,0,0,2022/08/01 03:19,2597.0,800483990,0.0,800484110,2845.26,US Dollar,2845.26,US Dollar,ACH,0.0,13.0,14.0,2845.26,0.0,0.0,9.0,-0.2507222,0.0,0.4376457490690393
