Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering,Laundering Type
2022/09/01 00:29,0110994,80A0ECCF0,0110320,804F34520,311.90,Euro,311.90,Euro,ACH,1,SCATTER-GATHER
2022/09/04 12:49,0110320,804F34520,029772,8046BB130,317.89,US Dollar,317.89,US Dollar,ACH,1,SCATTER-GATHER
2022/09/01 12:28,0110994,80A0ECCF0,014745,808326150,12618.72,US Dollar,12618.72,US Dollar,ACH,1,SCATTER-GATHER
2022/09/04 13:39,014745,808326150,029772,8046BB130,10555.54,US Dollar,10555.54,US Dollar,ACH,1,SCATTER-GATHER
2022/09/01 14:26,0110994,80A0ECCF0,0044986,81112A390,433188.87,Yen,433188.87,Yen,ACH,1,SCATTER-GATHER
2022/09/04 15:34,0044986,81112A390,029772,8046BB130,4250.51,US Dollar,4250.51,US Dollar,ACH,1,SCATTER-GATHER
2022/09/02 15:52,0110994,80A0ECCF0,026916,80367EF50,19336.29,US Dollar,19336.29,US Dollar,ACH,1,SCATTER-GATHER
2022/09/04 16:27,026916,80367EF50,029772,8046BB130,15545.50,US Dollar,15545.50,US Dollar,ACH,1,SCATTER-GATHER
2022/09/02 17:41,0110994,80A0ECCF0,0217,8000DE790,14536.05,Swiss Franc,14536.05,Swiss Franc,ACH,1,SCATTER-GATHER
2022/09/05 08:36,0217,8000DE790,029772,8046BB130,12841.60,US Dollar,12841.60,US Dollar,ACH,1,SCATTER-GATHER
2022/09/03 08:04,0110994,80A0ECCF0,0112029,80F393C80,11526.14,Euro,11526.14,Euro,ACH,1,SCATTER-GATHER
2022/09/05 13:36,0112029,80F393C80,029772,8046BB130,13506.14,US Dollar,13506.14,US Dollar,ACH,1,SCATTER-GATHER
2022/09/03 15:18,0110994,80A0ECCF0,018486,806EEDF00,6354.47,Euro,6354.47,Euro,ACH,1,SCATTER-GATHER
2022/09/05 15:45,018486,806EEDF00,029772,8046BB130,6214.32,US Dollar,6214.32,US Dollar,ACH,1,SCATTER-GATHER
2022/09/03 16:50,0110994,80A0ECCF0,0241856,813EEF2D0,10699.11,US Dollar,10699.11,US Dollar,ACH,1,SCATTER-GATHER
2022/09/05 16:00,0241856,813EEF2D0,029772,8046BB130,9740.51,US Dollar,9740.51,US Dollar,ACH,1,SCATTER-GATHER
2022/09/03 22:43,0110994,80A0ECCF0,0216070,81400EF50,17818.54,US Dollar,17818.54,US Dollar,ACH,1,SCATTER-GATHER
2022/09/05 17:50,0216070,81400EF50,029772,8046BB130,19692.49,US Dollar,19692.49,US Dollar,ACH,1,SCATTER-GATHER
2022/09/03 23:22,0110994,80A0ECCF0,003,80F353730,1762382.47,Yen,1762382.47,Yen,ACH,1,SCATTER-GATHER
2022/09/06 00:20,003,80F353730,029772,8046BB130,13666.55,US Dollar,13666.55,US Dollar,ACH,1,SCATTER-GATHER
